Location,Result,Date,Number,Lat,Lon,Color
site1,2,2018-01,0,0.1,2,#7ca6d6
site1,2,2018-02,2,0.1,2,#7ca6d6
site1,3,2018-03,4,0.1,2,#7ca6d6
site1,3,2018-04,6,0.1,2,#7ca6d6
site1,4,2018-05,8,0.1,2,#7ca6d6
site1,5,2018-06,10,0.1,2,#7ca6d6
site2,7,2018-01,0,0.1,2.6,#3c3482
site2,7,2018-02,2,0.1,2.6,#3c3482
site2,8,2018-03,4,0.1,2.6,#3c3482
site2,8,2018-04,6,0.1,2.6,#3c3482
site2,9,2018-05,8,0.1,2.6,#3c3482
site2,9,2018-06,10,0.1,2.6,#3c3482
site3,2,2018-01,0,0.4,2,#c74d3a
site3,2,2018-02,2,0.4,2,#c74d3a
site3,1,2018-03,4,0.4,2,#c74d3a
site3,3,2018-04,6,0.4,2,#c74d3a
site3,4,2018-05,8,0.4,2,#c74d3a
site3,5,2018-06,10,0.4,2,#c74d3a
site4,3,2018-01,0,0.4,2.6,#3c8538
site4,3,2018-02,2,0.4,2.6,#3c8538
site4,4,2018-03,4,0.4,2.6,#3c8538
site4,4,2018-04,6,0.4,2.6,#3c8538
site4,2,2018-05,8,0.4,2.6,#3c8538
site4,2,2018-06,10,0.4,2.6,#3c8538
